method,query_type,mean_composite_score
graph_local_rag,hybrid,0.0252083333333333
graph_local_rag,local,0.2695402298850575
graph_rag,hybrid,0.0
graph_rag,local,0.2214743589743589
hybrid_rag,hybrid,0.3491919191919192
hybrid_rag,local,0.35
lazygraph_rag,hybrid,0.3574649313664886
lazygraph_rag,local,0.2977425955367132
semantic_rag,hybrid,0.3020833333333333
semantic_rag,local,0.5208333333333334
adaptive_rag,hybrid,0.3125
adaptive_rag,local,0.5357142857142857
hybrid_dense_sparse,hybrid,0.1354166666666666
hybrid_dense_sparse,local,0.4523809523809524
rerank_semantic,hybrid,0.2946428571428571
rerank_semantic,local,0.5565476190476191
frontier_rag,hybrid,0.40625
frontier_rag,local,0.43154761904761907
