method,question_type,n,mean_question_tokens,mean_gold_tokens,mean_composite,mean_judge,mean_latency_s,p95_latency_s,method_label
adaptive_rag,bridge,6,21.333333333333332,4.0,0.3125,0.25,7.855087520671077,10.552365530755196,Adaptive router
hybrid_dense_sparse,bridge,6,21.333333333333332,4.0,0.13541666666666666,0.25,1.7486463611664174,1.9442715730110647,BM25+dense (RRF)
frontier_rag,bridge,6,21.333333333333332,4.0,0.40625,0.3333333333333333,10.91811570150215,13.820004322740713,FrontierRAG (adaptive+CRAG)
lazygraph_rag,bridge,6,21.333333333333332,4.0,0.3574649313664886,0.6666666666666666,9.538012305497736,11.574081010257942,GraphRAG fast/basic
graph_rag,bridge,6,21.333333333333332,4.0,0.0,0.0,14.777067812494352,21.29945008323557,GraphRAG global
graph_local_rag,bridge,6,21.333333333333332,4.0,0.025208333333333333,0.08833333333333333,11.212415409502379,12.188830010243693,GraphRAG local
hybrid_rag,bridge,6,21.333333333333332,4.0,0.3491919191919192,0.6666666666666666,10.580321527838047,12.77380388576421,Hybrid (vec+graph local)
semantic_rag,bridge,1708,21.395784543325526,3.9151053864168617,0.2517103702796033,0.35477751756440284,,,Semantic (vector)
rerank_semantic,bridge,6,21.333333333333332,4.0,0.29464285714285715,0.4166666666666667,2.1623983469956634,3.072303874490899,Vector + rerank
adaptive_rag,comparison,6,14.333333333333334,2.0,0.5357142857142857,0.5,1.5080003958379773,1.933825885258557,Adaptive router
hybrid_dense_sparse,comparison,6,14.333333333333334,2.0,0.4523809523809524,0.5,1.4786978749907576,2.168075957990368,BM25+dense (RRF)
frontier_rag,comparison,6,14.333333333333334,2.0,0.43154761904761907,0.4166666666666667,3.370898430502469,11.470710364505065,FrontierRAG (adaptive+CRAG)
lazygraph_rag,comparison,6,14.333333333333334,2.0,0.2977425955367132,0.46666666666666673,9.085588291830694,10.614524990247446,GraphRAG fast/basic
graph_rag,comparison,6,14.333333333333334,2.0,0.22147435897435896,0.3666666666666667,14.853330013827266,18.87129730150627,GraphRAG global
graph_local_rag,comparison,6,14.333333333333334,2.0,0.2695402298850575,0.5666666666666668,10.558127499670567,12.947007219001534,GraphRAG local
hybrid_rag,comparison,6,14.333333333333334,2.0,0.35000000000000003,0.4666666666666666,10.85304788882786,12.897036166497855,Hybrid (vec+graph local)
semantic_rag,comparison,417,16.038369304556355,3.3357314148681056,0.378656884173177,0.4378657074340528,,,Semantic (vector)
rerank_semantic,comparison,6,14.333333333333334,2.0,0.5565476190476191,0.5833333333333334,0.9255910696665524,1.594111552250979,Vector + rerank
